Genus,Phylum,Sp,Strain,Assembly,Phyla
Puccinia,Basidiomycota,striiformis,Race.Yr9,GCA_002008965.1,1
Puccinia,Basidiomycota,striiformis,Race.K,GCA_002008935.1,1
Puccinia,Basidiomycota,striiformis,Race.31,GCA_002008925.1,1
Puccinia,Basidiomycota,striiformis,NA,GCA_025869495.1,1
Puccinia,Basidiomycota,striiformis,NA,GCA_025869475.1,1
Puccinia,Basidiomycota,striiformis,PST-130,GCA_000223505.1,1
Puccinia,Basidiomycota,striiformis,race.PST-78,GCA_001191645.1,1
Puccinia,Basidiomycota,striiformis,PST21,GCA_000342545.1,1
Puccinia,Basidiomycota,striiformis,PST43,GCA_000342525.1,1
Puccinia,Basidiomycota,striiformis,21-Aug,GCA_000342565.1,1
Puccinia,Basidiomycota,striiformis,87/7,GCA_000342625.1,1
Puccinia,Basidiomycota,triticina,S423,GCA_013090125.1,1
Puccinia,Basidiomycota,triticina,1-1.BBBD.Race.1,GCA_000151525.2,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707215.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707095.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001706745.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707415.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707345.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707035.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001706825.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001706815.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707045.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707295.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707655.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707075.1,1
Puccinia,Basidiomycota,triticina,Race.106,GCA_001706785.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707355.1,1
Puccinia,Basidiomycota,triticina,Race.77,GCA_001707385.1,1
Puccinia,Basidiomycota,graminis,NA,GCA_008522505.1,1
Puccinia,Basidiomycota,graminis,Ug99,GCA_008520325.1,1
Puccinia,Basidiomycota,graminis,NA,GCA_903797515.1,1
Puccinia,Basidiomycota,coronata,NA,GCA_002873275.1,1
Puccinia,Basidiomycota,triticina,WLR473,GCA_029618625.1,1
Puccinia,Basidiomycota,triticina,WLR473,GCA_029618635.1,1
Puccinia,Basidiomycota,striiformis,CY32,GCA_000474995.1,1
Puccinia,Basidiomycota,arachidis,MRf11,GCA_001013415.1,1
Punctularia,Basidiomycota,strigosozonata,HHB-11173.SS5,GCA_000264995.1,1
Punctularia,Basidiomycota,strigosozonata,HHB-11173.SS5,GCF_000264995.1,1
Ramaria,Basidiomycota,rubella,UT-36052-T,GCA_015039355.1,1
Ramaria,Basidiomycota,cf.,MG17,GCA_003316465.1,1
Ramaria,Basidiomycota,sp.,MG151,GCA_003314545.1,1
Rhizoctonia,Basidiomycota,solani,AG-1.IA,GCA_016906535.1,1
Rhizoctonia,Basidiomycota,solani,AG-1.IA,GCF_016906535.1,1
Rhizoctonia,Basidiomycota,solani,AG1-IA_HG81,GCA_024722335.1,1
Rhizoctonia,Basidiomycota,solani,3T-1,GCA_034770255.1,1
Rhizoctonia,Basidiomycota,solani,MJ-102,GCA_034770285.1,1
Rhizoctonia,Basidiomycota,solani,AG4-JY,GCA_025504695.1,1
Rhizoctonia,Basidiomycota,solani,AG1-IA_BRS1,GCA_028551635.1,1
Rhizoctonia,Basidiomycota,solani,AG4,GCA_017311305.1,1
Rhizoctonia,Basidiomycota,solani,AG1-1A-ZJ,GCA_019297585.1,1
Rhizoctonia,Basidiomycota,solani,MPI-SDFR-AT-0096,GCA_020746845.1,1
Rhizoctonia,Basidiomycota,solani,AG1-IA.B2,GCA_015342405.1,1
Rhizoctonia,Basidiomycota,solani,LK4,GCA_026766895.1,1
Rhizoctonia,Basidiomycota,solani,AG-7.BCG123,GCA_026686785.1,1
Rhizoctonia,Basidiomycota,solani,AG1-IA.WGL,GCA_015342435.1,1
Rhizoctonia,Basidiomycota,solani,AG1-IA.YN-7,GCA_015341985.1,1
Rhizoctonia,Basidiomycota,solani,AG1-IA.ADB,GCA_015342415.1,1
Rhizoctonia,Basidiomycota,solani,AG1-1C,GCA_905219585.1,1
Rhizoctonia,Basidiomycota,solani,AG3-T5,GCA_905219615.1,1
Rhizoctonia,Basidiomycota,solani,AG1-1B,GCA_905219545.1,1
Rhizoctonia,Basidiomycota,solani,AG4-R118,GCA_905219625.1,1
Rhizoctonia,Basidiomycota,solani,AG6-10EEA,GCA_905219655.1,1
Rhizoctonia,Basidiomycota,solani,AG4-RS23,GCA_905219635.1,1
Rhizoctonia,Basidiomycota,solani,AG1-1A,GCA_905219565.1,1
Rhizoctonia,Basidiomycota,solani,NA,GCA_001286725.1,1
Rhizoctonia,Basidiomycota,solani,AG2-2IIIB,GCA_905219575.1,1
Rhizoctonia,Basidiomycota,solani,type.strain:.AG8-Rh-89/,GCA_905219645.1,1
Rhizoctonia,Basidiomycota,solani,AG5,GCA_905232135.1,1
Rhizoctonia,Basidiomycota,solani,AG3-1AP,GCA_905219605.1,1
Rhizoctonia,Basidiomycota,solani,NA,GCA_000334115.1,1
Rhizoctonia,Basidiomycota,solani,1802/KB,GCA_001899475.2,1
Rhizoctonia,Basidiomycota,solani,1/2/21,GCA_914271525.1,1
Rhizoctonia,Basidiomycota,solani,O8/2,GCA_914271495.1,1
Rhizoctonia,Basidiomycota,solani,NA,GCA_000832345.2,1
Rhizoctonia,Basidiomycota,solani,AG-3,GCA_000524645.1,1
Rhizoctonia,Basidiomycota,solani,isolate.7/3/14,GCA_000350255.1,1
Rhizoctonia,Basidiomycota,solani,NA,GCA_900185085.1,1
Rhizoctonia,Basidiomycota,solani,WAC10335,GCA_000695385.1,1
Rhizoctonia,Basidiomycota,solani,123E,GCA_000715385.1,1
Rhizoctonia,Basidiomycota,solani,NA,GCA_021018865.1,1
Rhizoctonia,Basidiomycota,solani,RS-20,GCA_003268435.1,1
Rhizoctonia,Basidiomycota,solani,NA,GCA_030142035.1,1
Rhizoctonia,Basidiomycota,solani,AG3-1A1,GCA_905219595.1,1
Rhizopogon,Basidiomycota,salebrosus,TDB-379,GCA_029603245.1,1
Rhizopogon,Basidiomycota,vulgaris,AM-UT12-125,GCA_002995295.1,1
Rhizopogon,Basidiomycota,vinicolor,AM-OR11-026,GCA_001658105.1,1
Rhizopogon,Basidiomycota,roseolus,Mykothek.Nr.97.03,GCA_930272055.1,1
Rhizopogon,Basidiomycota,rudus,AM-MX12-043c,GCA_002995055.1,1
Rhizopogon,Basidiomycota,sp.,AM-CA11-027,GCA_002995095.1,1
Rhizopogon,Basidiomycota,vesiculosus,AM-OR11-056,GCA_001882365.1,1
Rhizopogon,Basidiomycota,parksii,AM-Trappe36302,GCA_002994865.1,1
Rhizopogon,Basidiomycota,hawkerae,AM-Trappe36296,GCA_002994995.1,1
Rhizopogon,Basidiomycota,villosulus,AM-UT12-148a,GCA_002995315.1,1
Rhizopogon,Basidiomycota,fuscorubens,AM-Bonito1a,GCA_002995455.1,1
Rhizopogon,Basidiomycota,salebrosus,AM-AZ12-036,GCA_002995475.1,1
Rhizopogon,Basidiomycota,vinicolor,AM-AZ12-009,GCA_002995415.1,1
Rhizopogon,Basidiomycota,vinicolor,AM-CA13-019b,GCA_002995065.1,1
Rhizopogon,Basidiomycota,vinicolor,AM-AZ12-022b,GCA_002995395.1,1
Rhizopogon,Basidiomycota,vinicolor,AM-UT12-150b,GCA_002995275.1,1
Rhizopogon,Basidiomycota,vinicolor,AM-AZ12-102g,GCA_002995375.1,1
Rhizopogon,Basidiomycota,vinicolor,AM-OR13-013,GCA_002994825.1,1
Rhizopogon,Basidiomycota,rudus,AM-MX12-026,GCA_002994895.1,1
Rhizopogon,Basidiomycota,rudus,AM-AZ12-031,GCA_002995355.1,1
Rhizopogon,Basidiomycota,rudus,AM-MX12-043h,GCA_002995195.1,1
Rhizopogon,Basidiomycota,vesiculosus,AM-CA13-008-8,GCA_002995115.1,1
Rhizopogon,Basidiomycota,vesiculosus,AM-OR13-020,GCA_002995015.1,1
Rhizopogon,Basidiomycota,rudus,AM-MX12-054f,GCA_002995215.1,1
Rhizopogon,Basidiomycota,vesiculosus,AM-CA13-008-1,GCA_002995245.1,1
Rhizopogon,Basidiomycota,sp.,AM-OR13-011,GCA_002994855.1,1
Rhizopogon,Basidiomycota,rudus,AM-UT12-140b,GCA_002995335.1,1
Rhizopogon,Basidiomycota,sp.,AM-TW13-021,GCA_002994955.1,1
Rhizopogon,Basidiomycota,hawkerae,AM-Trappe36293,GCA_002995035.1,1
Rhizopogon,Basidiomycota,sp.,AM-CA11-010,GCA_002995235.1,1
Rhizopogon,Basidiomycota,rudus,AM-MX12-062,GCA_002995175.1,1
Rhizopogon,Basidiomycota,sp.,AM-TW13-034c,GCA_002995135.1,1
Rhizopogon,Basidiomycota,parksii,AM-OR11-059,GCA_002995155.1,1
Rhodocollybia,Basidiomycota,butyracea,AH.40177,GCA_015501585.1,1
Rhodofomes,Basidiomycota,roseus,CIRM-BRFM.1785,GCA_022264815.1,1
Rhodofomes,Basidiomycota,roseus,CIRM-BRFM.1785,GCF_022264815.1,1
Rhodofomes,Basidiomycota,roseus,DSM.105464,GCA_004679265.1,1
Rhodotorula,Basidiomycota,mucilaginosa,GDMCC2.30,GCA_034406715.1,1
Rhodotorula,Basidiomycota,glutinis,CBS.20,GCA_920103745.3,1
Rhodotorula,Basidiomycota,babjevae,CBS.7808,GCA_920104245.2,1
Rhodotorula,Basidiomycota,toruloides,NP11,GCA_000320785.2,1
Rhodotorula,Basidiomycota,toruloides,NP11,GCF_000320785.1,1
Rhodotorula,Basidiomycota,paludigena,BS15,GCA_036244875.1,1
Rhodotorula,Basidiomycota,kratochvilovae,YM25235,GCA_019926025.1,1
Rhodotorula,Basidiomycota,graminis,WP1,GCA_001329695.1,1
Rhodotorula,Basidiomycota,graminis,WP1,GCF_001329695.1,1
Rhodotorula,Basidiomycota,sphaerocarpa,GDMCC.60679,GCA_024713535.1,1
Rhodotorula,Basidiomycota,diobovata,UCD-FST.08-225,GCA_006352295.1,1
Rhodotorula,Basidiomycota,taiwanensis,MD1149,GCA_002922495.1,1
Rhodotorula,Basidiomycota,sp.,S30-09,GCA_023628235.1,1
Rhodotorula,Basidiomycota,sp.,VS67,GCA_019059545.1,1
Rhodotorula,Basidiomycota,sp.,CC01,GCA_021654155.1,1
Rhodotorula,Basidiomycota,sp.,JG-1b,GCA_001541205.1,1
Rhodotorula,Basidiomycota,sp.,PL61-2,GCA_028828645.1,1
Rhodotorula,Basidiomycota,sp.,CCFEE.5036,GCA_005059875.1,1
Rhodotorula,Basidiomycota,sp.,CP72-2,GCA_030867695.1,1
Rhodotorula,Basidiomycota,sp.,ZM1,GCA_009806315.1,1
Rhodotorula,Basidiomycota,sp.,M30-05A-2,GCA_023628275.1,1
Rhodotorula,Basidiomycota,sp.,NA,GCA_001914285.1,1
Rhodotorula,Basidiomycota,kratochvilovae,CBS.7436,GCA_019923515.1,1
Rhodotorula,Basidiomycota,mucilaginosa,JY1105,GCA_024748845.1,1
Rhodotorula,Basidiomycota,mucilaginosa,JGTA-S1,GCA_003055205.1,1
Rhodotorula,Basidiomycota,mucilaginosa,LBMH1012,GCA_024500305.1,1
Rhodotorula,Basidiomycota,mucilaginosa,CYJ03,GCA_004143675.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_4S_B_2B,GCA_019190935.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_8S_P_6A,GCA_019190035.1,1
Rhodotorula,Basidiomycota,mucilaginosa,PG2906A,GCA_025502755.1,1
Rhodotorula,Basidiomycota,mucilaginosa,2NF929A,GCA_025502865.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF5SW-F1,GCA_013036505.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_1S_P_1C,GCA_019191065.1,1
Rhodotorula,Basidiomycota,mucilaginosa,PH4019,GCA_025502925.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_1S_P_1B,GCA_019191075.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_6S_1B,GCA_019189395.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_1S_P_1A,GCA_019191155.1,1
Rhodotorula,Basidiomycota,mucilaginosa,PYS006A,GCA_025502885.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_4S_B_2A,GCA_019190965.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_5S_5P,GCA_019189475.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_5S_4P,GCA_019189485.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_3S_2B,GCA_019189915.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_6S_B_1C,GCA_019190635.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_3S_2P,GCA_019189885.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_6S_2B,GCA_019189345.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_4S_2P,GCA_019189675.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_4S_P_5A,GCA_019190765.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_3S_1P,GCA_019189905.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_4S_5B,GCA_019189595.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_4S_P_3B,GCA_019190895.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_7S_P_6B,GCA_019190345.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_5S_3B,GCA_019189525.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF8SW-P2,GCA_013036805.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF1SW-F2,GCA_013036655.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_4S_4B,GCA_019189665.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_5S_6P,GCA_019189415.1,1
Rhodotorula,Basidiomycota,mucilaginosa,PS2012A,GCA_025502915.1,1
Rhodotorula,Basidiomycota,mucilaginosa,R30-17B,GCA_025502725.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_6S_P_2A,GCA_019190505.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_3S_3P,GCA_019189795.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_4S_1P,GCA_019189755.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_5S_2B,GCA_019189545.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_6S_P_2B,GCA_019190525.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_3S_1B,GCA_019189985.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_6S_P_1A,GCA_019190605.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_8S_B_1B,GCA_019190135.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF8SW-F1,GCA_013036475.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_4S_P_3C,GCA_019190885.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6904,GCA_037041355.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_3S_3B,GCA_019189785.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF8SW-B2,GCA_013036825.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_8S_P_6B,GCA_019190015.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF4SW-B2,GCA_013036905.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_6S_P_1B,GCA_019190585.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIFCSW-F1,GCA_013036365.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_6S_P_1C,GCA_019190495.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F3_1F2_F,GCA_019802805.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_1S_2B,GCA_019189975.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF5SW-F2,GCA_012922695.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIFCSG-B2,GCA_019802895.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF8SW-B2,GCA_013036735.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF3SG-B1,GCA_013036305.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF3SW-F2,GCA_013036615.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_4S_P_4A,GCA_019190805.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF4SG-B4,GCA_019802905.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF4SW-F2,GCA_013036595.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF8SW-B3,GCA_013036715.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF2SG-B1,GCA_013030385.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF1SW-B1,GCA_013036955.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF7SG-B1,GCA_013030395.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF6SW-B2,GCA_013036755.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF4SW-B1,GCA_013036895.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_6S_B_1B,GCA_019190625.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_4S_B_2C,GCA_019190905.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_8S_P_5B,GCA_019190145.1,1
Rhodotorula,Basidiomycota,mucilaginosa,B1,GCA_018687845.1,1
Rhodotorula,Basidiomycota,mucilaginosa,B-1,GCA_019671035.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF4SW-F1,GCA_012922765.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF6SW-B1,GCA_012922825.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_4S_P_4B,GCA_019190795.1,1
Rhodotorula,Basidiomycota,mucilaginosa,HL26-1,GCA_036320835.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_7S_P_7B,GCA_019190235.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_7S_P_7C,GCA_019190245.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_7S_B_2A,GCA_019190375.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF1SW-F1,GCA_013036515.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_4S_P_5B,GCA_019190745.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F8_1S_3B,GCA_019189995.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_6S_B_1A,GCA_019190705.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF2SW-F1,GCA_012922805.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_7S_P_7A,GCA_019190265.1,1
Rhodotorula,Basidiomycota,mucilaginosa,PK2101B,GCA_025502745.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF8SG-B1,GCA_013030415.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF5SG-B3,GCA_019802825.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF1SG-B1,GCA_013036355.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF7SW-B3,GCA_013036835.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF2*SW-B1,GCA_013036665.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_8S_P_5A,GCA_019190125.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IFCSG-B1,GCA_013036385.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF6SW-B2,GCA_012922835.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF3SG-B1,GCA_019802915.1,1
Rhodotorula,Basidiomycota,mucilaginosa,PX3501,GCA_025502945.1,1
Rhodotorula,Basidiomycota,mucilaginosa,VS.AB.II.KN.2,GCA_019805405.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_7S_B_2B,GCA_019190365.1,1
Rhodotorula,Basidiomycota,mucilaginosa,F6_7S_B_2C,GCA_019190385.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF6SW-F1,GCA_013036525.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF6SW-F1,GCA_012922725.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF1SG-B3,GCA_019802925.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF2*SW-F1,GCA_013036445.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF6SG-B1,GCA_013030405.1,1
Rhodotorula,Basidiomycota,mucilaginosa,RIT389,GCA_002250355.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIF8SG-B5,GCA_019802815.1,1
Rhodotorula,Basidiomycota,mucilaginosa,NA,GCA_024184655.1,1
Rhodotorula,Basidiomycota,mucilaginosa,NA,GCA_032719295.1,1
Rhodotorula,Basidiomycota,mucilaginosa,P60-03,GCA_037040695.1,1
Rhodotorula,Basidiomycota,mucilaginosa,KR,GCA_016584205.1,1
Rhodotorula,Basidiomycota,mucilaginosa,M30-05A,GCA_023628195.1,1
Rhodotorula,Basidiomycota,mucilaginosa,NA,GCA_019303655.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IIPL32,GCA_002806785.1,1
Rhodotorula,Basidiomycota,mucilaginosa,C2.5t1,GCA_000931965.1,1
Rhodotorula,Basidiomycota,mucilaginosa,IF8SW-F1,GCA_019803015.1,1
Rhodotorula,Basidiomycota,toruloides,CBS14,GCA_921037615.3,1
Rhodotorula,Basidiomycota,toruloides,IF0880,GCA_037126585.1,1
Rhodotorula,Basidiomycota,toruloides,IF0880,GCA_037126745.1,1
Rhodotorula,Basidiomycota,toruloides,NBRC.0880,GCA_000988875.2,1
Rhodotorula,Basidiomycota,toruloides,NA,GCA_001255795.1,1
Rhodotorula,Basidiomycota,toruloides,delta.dao.1e,GCA_023968905.1,1
Rhodotorula,Basidiomycota,toruloides,BOT-A2,GCA_034509285.1,1
Rhodotorula,Basidiomycota,toruloides,IF0880,GCA_037126565.1,1
Rhodotorula,Basidiomycota,toruloides,LAB-07,GCA_029694785.1,1
Rhodotorula,Basidiomycota,toruloides,NBRC10032,GCA_007990605.1,1
Rhodotorula,Basidiomycota,toruloides,JCM.10049,GCA_001600155.1,1
Rhodotorula,Basidiomycota,toruloides,JCM.24501,GCA_001600215.1,1
Rhodotorula,Basidiomycota,toruloides,JCM.10020,GCA_001600115.1,1
Rhodotorula,Basidiomycota,toruloides,JCM.10021,GCA_001600135.1,1
Rhodotorula,Basidiomycota,toruloides,CECT1137,GCA_003234015.1,1
Rhodotorula,Basidiomycota,toruloides,ATCC.10788,GCA_001542305.1,1
Rhodotorula,Basidiomycota,toruloides,ATCC.10657,GCA_001542265.1,1
Rhodotorula,Basidiomycota,toruloides,CB6-10/1,GCA_035220585.1,1
Rhodotorula,Basidiomycota,toruloides,Z11,GCA_023078535.2,1
Rhodotorula,Basidiomycota,toruloides,Z1,GCA_024734855.1,1
Rhodotorula,Basidiomycota,toruloides,IFO0559,GCA_000988805.1,1
Rhodotorula,Basidiomycota,toruloides,VN1,GCA_005387725.1,1
Rhodotorula,Basidiomycota,toruloides,CCT.0783,GCA_016808315.1,1
Rhodotorula,Basidiomycota,toruloides,ATCC.204091,GCA_000222205.2,1
Rhodotorula,Basidiomycota,toruloides,MTCC.457,GCA_000258745.1,1
Rhodotorula,Basidiomycota,paludigena,LL69-1,GCA_033458335.1,1
Rhodotorula,Basidiomycota,paludigena,TL35-5,GCA_028828615.1,1
Rhodotorula,Basidiomycota,paludigena,CM33,GCA_005281665.1,1
Rhodotorula,Basidiomycota,paludigena,SP9-15,GCA_029873615.1,1
Rhodotorula,Basidiomycota,paludigena,P4R5,GCA_019671115.1,1
Rhodotorula,Basidiomycota,glutinis,ZHK,GCA_015501985.1,1
Rhodotorula,Basidiomycota,kratochvilovae,Y14,GCA_022817825.1,1
Rhodotorula,Basidiomycota,kratochvilovae,LS11,GCA_002917965.1,1
Rhodotorula,Basidiomycota,kratochvilovae,VS.II.C.KN.5,GCA_019775595.1,1
Rhodotorula,Basidiomycota,kratochvilovae,VS.II.B.KN.4,GCA_019775605.1,1
Rhodotorula,Basidiomycota,kratochvilovae,VS.III.C.KN.1,GCA_019775375.1,1
Rhodotorula,Basidiomycota,kratochvilovae,VS.II.D.KN.4,GCA_019775385.1,1
Rhodotorula,Basidiomycota,graminis,JJ10.1,GCA_026119225.1,1
Rhodotorula,Basidiomycota,graminis,NA,GCA_947297645.1,1
Rhodotorula,Basidiomycota,sphaerocarpa,ETNP2018,GCA_030983975.1,1
Rhodotorula,Basidiomycota,babjevae,DBVPG.8058,GCA_920103735.2,1
Rhodotorula,Basidiomycota,toruloides,CGMCC.2.1609,GCA_001456015.1,1
Rhodotorula,Basidiomycota,graminis,NA,GCA_937859235.1,1
Rhodotorula,Basidiomycota,sp.,NA,GCA_937898295.1,1
Rhodotorula,Basidiomycota,sp.,NA,GCA_963379285.1,1
Rickenella,Basidiomycota,mellea,SZMC22713,GCA_004355085.1,1
Roridomyces,Basidiomycota,roridus,9284,GCA_029378245.1,1
Russula,Basidiomycota,olivacea,NA,GCA_963926505.1,1
Russula,Basidiomycota,griseocarnosa,E138,GCA_022884055.1,1
Russula,Basidiomycota,virescens,MG14,GCA_003316435.1,1
Russula,Basidiomycota,ochroleuca,Prilba,GCA_015178965.1,1
Russula,Basidiomycota,emetica,Prilba,GCA_015178925.1,1
Russula,Basidiomycota,dissimulans,BPL704,GCA_022376545.1,1
Russula,Basidiomycota,vinacea,BPL710,GCA_022376525.1,1
Russula,Basidiomycota,brevipes,BPL707,GCA_022496215.1,1
Russula,Basidiomycota,compacta,BPL669,GCA_022376555.1,1
Russula,Basidiomycota,aff.,BPL654,GCA_022496225.1,1
Russula,Basidiomycota,earlei,NA,GCA_025769875.1,1
Russula,Basidiomycota,lepida,MG46,GCA_003316425.1,1
Russula,Basidiomycota,foetens,MG47,GCA_003316565.1,1
Russula,Basidiomycota,abietina,MG143,GCA_003313715.1,1
Russula,Basidiomycota,sp.,MG48,GCA_003313725.1,1
Russula,Basidiomycota,aff.,MG44,GCA_003313875.1,1
Russula,Basidiomycota,griseocarnosa,LJ24,GCA_004801975.1,1
Russula,Basidiomycota,olivacea,NA,GCA_963926515.1,1
Schizophyllum,Basidiomycota,commune,H4-8,GCA_000143185.2,1
Schizophyllum,Basidiomycota,commune,H4-8,GCF_000143185.2,1
Schizophyllum,Basidiomycota,commune,IUM1114-SS01,GCA_014900015.1,1
Schizophyllum,Basidiomycota,commune,20R-7-F01,GCA_024373065.1,1
Schizophyllum,Basidiomycota,commune,JCM.22674,GCA_001599475.1,1
Schizophyllum,Basidiomycota,commune,14-24,GCA_009746505.1,1
Schizophyllum,Basidiomycota,commune,14-96,GCA_009746475.1,1
Schizophyllum,Basidiomycota,commune,14-41,GCA_009746485.1,1
Schizophyllum,Basidiomycota,commune,14-101_S73,GCA_019143605.1,1
Schizophyllum,Basidiomycota,commune,14-67_S84,GCA_019143275.1,1
Schizophyllum,Basidiomycota,commune,14-34_S68,GCA_019143295.1,1
Schizophyllum,Basidiomycota,commune,14-89_S71,GCA_019143235.1,1
Schizophyllum,Basidiomycota,commune,14-85_S70,GCA_019143255.1,1
Schizophyllum,Basidiomycota,commune,14-112_S77,GCA_019143565.1,1
Schizophyllum,Basidiomycota,commune,14-31_S66,GCA_019143385.1,1
Schizophyllum,Basidiomycota,commune,14-25_S64,GCA_019143365.1,1
Schizophyllum,Basidiomycota,commune,14-29_S65,GCA_019143355.1,1
